FootnoteURN,Scholion,TextURN,Image,Number,Folio,Sequence
,urn:cts:greekLit:tlg5026.e3.hmt:8.2,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.5267,0.314,0.0103,0.022",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.3,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.516,0.336,0.011,0.0175",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.4,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.6497,0.3345,0.0137,0.0195",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.5,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.6387,0.368,0.0127,0.0205",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.6,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.5767,0.3835,0.014,0.0205",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.7,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.5893,0.4165,0.0127,0.021",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.8,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.626,0.4185,0.0137,0.021",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.9,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.574,0.4325,0.014,0.024",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.10,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.5807,0.4505,0.0117,0.019",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.11,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.517,0.4675,0.0133,0.018",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.12,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.5293,0.498,0.0093,0.0185",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.13,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.6217,0.5205,0.0163,0.0225",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.14,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.6837,0.5385,0.0203,0.0235",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.15,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.5787,0.5505,0.0157,0.0205",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.16,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.5787,0.5505,0.0157,0.0205",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.17,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.5713,0.6015,0.015,0.0195",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.18,,"urn:cite:hmt:e3bifolio.E3_97bisv_98r@0.527,0.63,0.0127,0.0215",,urn:cite:hmt:e3.98r,
,urn:cts:greekLit:tlg5026.e3.hmt:8.20,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.3066,0.2319,0.0149,0.0253",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.21,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.3157,0.2726,0.0109,0.0193",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.22,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.4003,0.2919,0.0109,0.0201",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.23,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.3549,0.3249,0.0151,0.0197",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.24,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.3889,0.3746,0.0114,0.021",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.25,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.274,0.3922,0.0114,0.021",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.26,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.3449,0.4265,0.0111,0.018",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.27,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.3246,0.4423,0.0103,0.0184",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.28,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.29,0.4771,0.0117,0.0193",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.29,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.3197,0.5276,0.0103,0.0189",,urn:cite:hmt:e3.98v,
,urn:cts:greekLit:tlg5026.e3.hmt:8.30,,"urn:cite:hmt:e3bifolio.E3_98v_99r@0.2977,0.5461,0.0157,0.0163",,urn:cite:hmt:e3.98v,
