"urn:cite:hmt:e3.1r","urn:cite:hmt:e3img.VB-001r"
"urn:cite:hmt:e3.1v","urn:cite:hmt:e3bifolio.E3_1v_2r"
"urn:cite:hmt:e3.2r","urn:cite:hmt:e3bifolio.E3_1v_2r"
"urn:cite:hmt:e3.2v","urn:cite:hmt:e3bifolio.E3_2v_3r"
"urn:cite:hmt:e3.3r","urn:cite:hmt:e3bifolio.E3_2v_3r"
"urn:cite:hmt:e3.3v","urn:cite:hmt:e3bifolio.E3_3v_4r"
"urn:cite:hmt:e3.4r","urn:cite:hmt:e3bifolio.E3_3v_4r"
"urn:cite:hmt:e3.4v","urn:cite:hmt:e3bifolio.E3_4v_5r"
"urn:cite:hmt:e3.5r","urn:cite:hmt:e3bifolio.E3_4v_5r"
"urn:cite:hmt:e3.5v","urn:cite:hmt:e3bifolio.E3_5v_6r"
"urn:cite:hmt:e3.6r","urn:cite:hmt:e3bifolio.E3_5v_6r"
"urn:cite:hmt:e3.6v","urn:cite:hmt:e3bifolio.E3_6v_7r"
"urn:cite:hmt:e3.7r","urn:cite:hmt:e3bifolio.E3_v6_7r"
"urn:cite:hmt:e3.7v","urn:cite:hmt:e3bifolio.E3_7v_8r"
"urn:cite:hmt:e3.8r","urn:cite:hmt:e3bifolio.E3_7v_8r"
"urn:cite:hmt:e3.8v","urn:cite:hmt:e3bifolio.E3_8v_9r"
"urn:cite:hmt:e3.9r","urn:cite:hmt:e3bifolio.E3_8v_9r"
"urn:cite:hmt:e3.9v","urn:cite:hmt:e3bifolio.E3_9v_10r"
"urn:cite:hmt:e3.10r","urn:cite:hmt:e3bifolio.E3_9v_10r"
"urn:cite:hmt:e3.10v","urn:cite:hmt:e3bifolio.E3_10v_11r"
"urn:cite:hmt:e3.11r","urn:cite:hmt:e3bifolio.E3_10v_11r"
"urn:cite:hmt:e3.11v","urn:cite:hmt:e3bifolio.E3_11v_12r"
"urn:cite:hmt:e3.12r","urn:cite:hmt:e3bifolio.E3_11v_12r"
"urn:cite:hmt:e3.12v","urn:cite:hmt:e3bifolio.E3_12v_13r"
"urn:cite:hmt:e3.13r","urn:cite:hmt:e3bifolio.E3_12v_13r"
"urn:cite:hmt:e3.13v","urn:cite:hmt:e3bifolio.E3_13v_14r"
"urn:cite:hmt:e3.14r","urn:cite:hmt:e3bifolio.E3_13v_14r"
"urn:cite:hmt:e3.14v","urn:cite:hmt:e3bifolio.E3_14v_15r"
"urn:cite:hmt:e3.15r","urn:cite:hmt:e3bifolio.E3_14v_15r"
"urn:cite:hmt:e3.15v","urn:cite:hmt:e3bifolio.E3_15v_16r"
"urn:cite:hmt:e3.16r","urn:cite:hmt:e3bifolio.E3_15v_16r"
"urn:cite:hmt:e3.16v","urn:cite:hmt:e3bifolio.E3_16v_17r"
"urn:cite:hmt:e3.17r","urn:cite:hmt:e3bifolio.E3_16v_17r"
"urn:cite:hmt:e3.17v","urn:cite:hmt:e3bifolio.E3_17v_18r"
"urn:cite:hmt:e3.18r","urn:cite:hmt:e3bifolio.E3_17v_18r"
"urn:cite:hmt:e3.18v","urn:cite:hmt:e3bifolio.E3_18v_19r"
"urn:cite:hmt:e3.19r","urn:cite:hmt:e3bifolio.E3_18v_19r"
"urn:cite:hmt:e3.19v","urn:cite:hmt:e3bifolio.E3_19v_20r"
"urn:cite:hmt:e3.20r","urn:cite:hmt:e3bifolio.E3_19v_20r"
"urn:cite:hmt:e3.20v","urn:cite:hmt:e3bifolio.E3_20v_21r"
"urn:cite:hmt:e3.21r","urn:cite:hmt:e3bifolio.E3_20v_21r"
"urn:cite:hmt:e3.21v","urn:cite:hmt:e3bifolio.E3_21v_22r"
"urn:cite:hmt:e3.22r","urn:cite:hmt:e3bifolio.E3_21v_22r"
"urn:cite:hmt:e3.22v","urn:cite:hmt:e3bifolio.E3_22v_23r"
"urn:cite:hmt:e3.23r","urn:cite:hmt:e3bifolio.E3_22v_23r"
"urn:cite:hmt:e3.23v","urn:cite:hmt:e3bifolio.E3_23v_24r"
"urn:cite:hmt:e3.24r","urn:cite:hmt:e3bifolio.E3_23v_24r"
"urn:cite:hmt:e3.24v","urn:cite:hmt:e3bifolio.E3_24v_25r"
"urn:cite:hmt:e3.25r","urn:cite:hmt:e3bifolio.E3_24v_25r"
"urn:cite:hmt:e3.25v","urn:cite:hmt:e3bifolio.E3_25v_26r"
"urn:cite:hmt:e3.26r","urn:cite:hmt:e3bifolio.E3_25v_26r"
"urn:cite:hmt:e3.26v","urn:cite:hmt:e3bifolio.E3_26v_27r"
"urn:cite:hmt:e3.27r","urn:cite:hmt:e3bifolio.E3_26v_27r"
"urn:cite:hmt:e3.27v","urn:cite:hmt:e3bifolio.E3_27v_28r"
"urn:cite:hmt:e3.28r","urn:cite:hmt:e3bifolio.E3_27v_28r"
"urn:cite:hmt:e3.28v","urn:cite:hmt:e3bifolio.E3_28v_29r"
"urn:cite:hmt:e3.29r","urn:cite:hmt:e3bifolio.E3_28v_29r"
"urn:cite:hmt:e3.29v","urn:cite:hmt:e3bifolio.E3_29v_30r"
"urn:cite:hmt:e3.30r","urn:cite:hmt:e3bifolio.E3_29v_30r"
"urn:cite:hmt:e3.30v","urn:cite:hmt:e3bifolio.E3_30v_31r"
"urn:cite:hmt:e3.31r","urn:cite:hmt:e3bifolio.E3_30v_31r"
"urn:cite:hmt:e3.31v","urn:cite:hmt:e3bifolio.E3_31v_32r"
"urn:cite:hmt:e3.32r","urn:cite:hmt:e3bifolio.E3_31v_32r"
"urn:cite:hmt:e3.32v","urn:cite:hmt:e3bifolio.E3_32v_33r"
"urn:cite:hmt:e3.33r","urn:cite:hmt:e3bifolio.E3_32v_33r"
"urn:cite:hmt:e3.33v","urn:cite:hmt:e3bifolio.E3_33v_34r"
"urn:cite:hmt:e3.34r","urn:cite:hmt:e3bifolio.E3_33v_34r"
"urn:cite:hmt:e3.34v","urn:cite:hmt:e3bifolio.E3_34v_35r"
"urn:cite:hmt:e3.35r","urn:cite:hmt:e3bifolio.E3_34v_35r"
"urn:cite:hmt:e3.35v","urn:cite:hmt:e3bifolio.E3_35v_36r"
"urn:cite:hmt:e3.36r","urn:cite:hmt:e3bifolio.E3_35v_36r"
"urn:cite:hmt:e3.36v","urn:cite:hmt:e3bifolio.E3_36v_37r"
"urn:cite:hmt:e3.37r","urn:cite:hmt:e3bifolio.E3_36v_37r"
"urn:cite:hmt:e3.37v","urn:cite:hmt:e3bifolio.E3_37v_38r"
"urn:cite:hmt:e3.38r","urn:cite:hmt:e3bifolio.E3_37v_38r"
"urn:cite:hmt:e3.38v","urn:cite:hmt:e3bifolio.E3_38v_39r"
"urn:cite:hmt:e3.39r","urn:cite:hmt:e3bifolio.E3_38v_39r"
"urn:cite:hmt:e3.39v","urn:cite:hmt:e3bifolio.E3_39v_40r"
"urn:cite:hmt:e3.40r","urn:cite:hmt:e3bifolio.E3_39v_40r"
"urn:cite:hmt:e3.40v","urn:cite:hmt:e3bifolio.E3_40v_41r"
"urn:cite:hmt:e3.41r","urn:cite:hmt:e3bifolio.E3_40v_41r"
"urn:cite:hmt:e3.41v","urn:cite:hmt:e3bifolio.E3_41v_42r"
"urn:cite:hmt:e3.42r","urn:cite:hmt:e3bifolio.E3_41v_42r"
"urn:cite:hmt:e3.42v","urn:cite:hmt:e3bifolio.E3_42v_43r"
"urn:cite:hmt:e3.43r","urn:cite:hmt:e3bifolio.E3_42v_43r"
"urn:cite:hmt:e3.43v","urn:cite:hmt:e3bifolio.E3_43v_44r"
"urn:cite:hmt:e3.44r","urn:cite:hmt:e3bifolio.E3_43v_44r"
"urn:cite:hmt:e3.44v","urn:cite:hmt:e3bifolio.E3_44v_45r"
"urn:cite:hmt:e3.45r","urn:cite:hmt:e3bifolio.E3_44v_45r"
"urn:cite:hmt:e3.45v","urn:cite:hmt:e3bifolio.E3_45v_46r"
"urn:cite:hmt:e3.46r","urn:cite:hmt:e3bifolio.E3_45v_46r"
"urn:cite:hmt:e3.46v","urn:cite:hmt:e3bifolio.E3_46v_47r"
"urn:cite:hmt:e3.47r","urn:cite:hmt:e3bifolio.E3_46v_47r"
"urn:cite:hmt:e3.47v","urn:cite:hmt:e3bifolio.E3_47v_48r"
"urn:cite:hmt:e3.48r","urn:cite:hmt:e3bifolio.E3_47v_48r"
"urn:cite:hmt:e3.48v","urn:cite:hmt:e3bifolio.E3_48v_49r"
"urn:cite:hmt:e3.49r","urn:cite:hmt:e3bifolio.E3_48v_49r"
